Product Name,Description,Image Link,Price,Rating,Store
"POCO C71 4+4G/128G Performa Cadas | 6.88"" 120Hz | Ekspansi RAM 8G / storage 128G [Official Store]",,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/d65192972cdc4698bf7028918083df06~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=2y%2B%2F4vjPtntkm%2FdvX3MVDdLktzA%3D&x-signature-webp=IC4B56d2Rm6ig1Nv87BiyQA8jXU%3D,Rp1.678.950,5.0,Xiaomi Indonesia
"Xiaomi Redmi 15C (6+128) (8+256) | Baterai 6000mAh | Layar Imersif 6.9"" 120Hz | 50 MP [Offical Store]",,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/c1932abbf7dd45a695cb845d4e1ff509~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=DdvMBfsHovNt%2BC9cLcU9XLaZ14o%3D&x-signature-webp=kjH078Pp44FriR7IV2ScgerG3JE%3D,Rp2.466.450,5.0,Xiaomi Indonesia
Xiaomi Redmi 15 (8/128) (8/256) Baterai besar 7000mAh | Ekspansi RAM hingga 16GB [Official Store],,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/339bf27c29db41458a8d50389af05ae8~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=FTKj1c85gNjpT3QGQ7EAq2RA%2FvY%3D&x-signature-webp=u2eDvwNi5d%2B3%2FknPpCoTUJyJ3Xs%3D,Rp2.728.950,5.0,Xiaomi Indonesia
"vivo Y03t - IP54 Tahan Air, AI Dual Camera 5000mAh + 15W FlashCharge, Layar Sunlight 90Hz",,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/37a7a5bc863943af89a75b8ebe0bcffc~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=9FWBKmFqUS30FnbdHRuuMDt9HD4%3D&x-signature-webp=513rVzWVbR5VDG%2FQwiZWGVjsOZw%3D,Rp1.799.000,5.0,vivo Indonesia
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB) | Baterai besar 6000mAh [Xiaomi Official Store],,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/3f8de068fdba436aabd1c232fb1f19e0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=Fn7u2nq0QRyTbtSWdII78lx6UQE%3D&x-signature-webp=P%2FNBx3MQSzXszgKX2nDZdWLGUnQ%3D,Rp3.148.950,4.9,Xiaomi Indonesia
"POCO C85 (6/128) (8/256) Baterai 6000mAh 33W | Ekspansi RAM hingga 16GB | Layar 6.9"" 120Hz [Official Store]",,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/25d3c405fb164856845b1c6c004e0824~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=dz%2BbWFD65UH1vCyXztIdwCGTxik%3D&x-signature-webp=wDFNtpzrxNoUUAx3JmZ3kAWUI%2BU%3D,Rp2.151.450,5.0,Xiaomi Indonesia
POCO X8 Pro Series | POCO X8 Pro Max | POCO X8 Pro | Dimensity 9500s* | [Xiaomi Official Store],,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/83844825cd974260b3a1b215f163b4a4~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=6dDchB%2F5KZ9zk%2FRz3zR3Y0Gp67k%3D&x-signature-webp=b%2B7I22h0RTsbgEe%2Br%2BXGrx3tXKw%3D,Rp6.408.950,4.9,Xiaomi Indonesia
Xiaomi Redmi A7 Pro (4+64 GB) (4+128 GB) | Layar imersif 6.9 inch | Baterai 6000mAh (Typ) [Xiaomi Official Store],,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/05b6adabfe244605bfbe38488afb59a0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=OhL%2Ft0XKy4Xw5ubWYQJLc17YE1k%3D&x-signature-webp=9TYkQRXDqTibf6y%2BQrfyZ3GDLb8%3D,Rp1.752.450,5.0,Xiaomi Indonesia
POCO M7 (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W [Official Store],,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4bd537d6cb5841f68d8c5e14a2543d6a~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=fAjjC92SHTlCs2W2K8S5Qd8%2F7GA%3D&x-signature-webp=ZfJY2SbGsmsmlCEYlrViqidPbc0%3D,Rp2.886.450,5.0,Xiaomi Indonesia
APPLE iPhone 14 - iPhone 15 -  iPhone 16 -  iPhone 17 - MacBook - Garansi Resmi Apple Indonesia,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/b7e7552d3c6c44969c54454bfc7216d0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=kQC2yerRGlW2pnYVHtDfxkwUZCM%3D&x-signature-webp=IrFoDQeCdH2FUeH3SymX%2BEaC%2B7A%3D,Rp12.110.000,5.0,Collins Official
